Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
螢,萤,蛍,,蛍,henu,huenu,ying 4 ,yíng,ケイ,ほたる,S,1981,형,반디,H,,n,lightning-bug,虫,11
協,协,,,協,hepu,hepu,hip 3 ,xié,キョウ,0,4,,협,화할,M,,,cooperation,十,8
挾,挟,挟,,挟,hepu,hepu,"haap 6 , hip 6 ",xié,キョウ,はさ-む、はさ-まる,S,1981,0,0,0,,,pinch,手,9
血,,,,血,hetu,huetu,hyut 3 ,"xuè, xiě",ケツ,ち,3,,혈,피,M,,n,blood,血,6
穴,,,,穴,hetu,huetu,yut 6 ,xué,ケツ,あな,6,,혈,구멍,H,,,hole,穴,5
曉,晓,暁,,暁,heu,hiau,hiu 2 ,xiǎo,ギョウ,あかつき,S,,효,새벽,H,,,daybreak,日,12
希,,,,希,hi,hi,hei 1 ,xī,キ,0,4,,희,바랄,M,,,hope,巾,7
喜,,,,喜,hi,hi,hei 2 ,xǐ,キ,よろこ-ぶ,4,,희,기쁠,M,,,rejoice,口,12
揮,挥,,,揮,hi,hui,fai 1 ,"huī, hún",キ,0,6,,휘,휘두를,H,,,brandish,手,12
輝,辉,,,輝,hi,hui,fai 1 ,huī,キ,かがや-く,S,,휘,빛날,H,,,radiance,車,15
犧,牺,犠,,犠,hi,hi,hei 1 ,xī,ギ,0,S,,0,0,0,,,sacrifice,牛,17
戲,戏,戯,戱,戯,"hi, huo","hi, ho","fu 1 , hei 3 ","xì, hū",ギ,たわむ-れる,S,,희,놀이,H,,,frolic,戈,15
憲,宪,,,憲,hien,hen,hin 3 ,xiàn,ケン,0,6,,헌,법,H,,,constitution,心,16
軒,轩,,,軒,hien,hen,hin 1 ,"xuān, xiǎn, xiàn, hǎn, jiān",ケン,のき,S,,헌,추녀,H,,,flats,車,10
獻,献,献,,献,"hien, sa","hen, sa",hin 3 ,xiàn,ケン、（コン）,0,S,,헌,바칠,H,,,offering,犬,13
興,兴,,,興,hinu,hinu,"hing 1 , hing 3 ","xīng, xìng",コウ、キョウ,おこ-る、おこ-す,5,,흥,일어날,M,,,entertain,臼,16
吸,,,,吸,hipu,hipu,"kap 1 , ngap 1 ",xī,キュウ,す-う,6,,흡,숨 들이쉴,H,,,suck,口,6
休,,,,休,hiu,hiu,yau 1 ,xiū,キュウ,やす-む、やす-まる、やす-める,1,,휴,쉴,M,"hưu, hầu, hươu",,rest,人,6
朽,,,,朽,hiu,hiu,"yau 2 , nau 2 ",xiǔ,キュウ,く-ちる,S,,0,0,0,,,decay,木,6
嗅,,,,嗅,hiu,hiu,"chau 3 , hung 3 ",xiù,キュウ,か-ぐ,S,2010,0,0,0,,,smell,口,13
許,许,,,許,ho,hio,heui 2 ,"xǔ, hǔ",キョ,ゆる-す,5,,허,허락할,M,,,permit,言,11
虛,虚,虚,,虚,"ho, ko","hio, kio",heui 1 ,xū,キョ、（コ）,0,S,,허,빌,M,,,void,虍,11
黑,,黒,,黒,hoku,hoku,"haak 1 , hak 1 ",hēi,コク,くろ、くろ-い,2,,흑,검을,M,hắc,desc,black,黑,11
惑,,,,惑,hoku,huoku,waak 6 ,huò,ワク,まど-う,S,,혹,미혹할,H,,,beguile,心,12
紅,红,,,紅,honu,honu,"gung 1 , hung 4 ","hóng, gōng, jiàng",コウ、（ク）,べに、くれない,6,,홍,붉을,M,,desc,deep red,糸,9
胸,,,,胸,honu,hionu,hung 1 ,xiōng,キョウ,むね、（むな）,6,,흉,가슴,M,,,bosom,肉,10
凶,,,,凶,honu,hionu,hung 1 ,xiōng,キョウ,0,S,,흉,흉할,M,,,villain,凵,4
恆,恒,恒,恒,恒,honu,honu,hang 4 ,héng,コウ,0,S,,항,항상,M,,,constancy,心,9
洪,,,,洪,honu,honu,hung 4 ,hóng,コウ,0,S,1981,홍,큰물,H,,,deluge,水,9
虹,,,,虹,"honu, kanu, konu","honu, kanu, konu",hung 4 ,"hóng, jiàng",0,にじ,S,2010,0,0,0,,n,rainbow,虫,9
後,后,,,後,hou,hou,hau 6 ,hòu,ゴ、コウ,のち、うし-ろ、あと、おく-れる,2,,후,뒤,M,hậu,,behind,彳,9
候,,,,候,hou,hou,hau 6 ,hòu,コウ,そうろう,4,,후,기후,H,,,climate,人,10
厚,,,,厚,hou,hou,hau 5 ,hòu,コウ,あつ-い,5,,후,두터울,M,,,thick,厂,9
后,,,,后,hou,hou,hau 6 ,hòu,コウ,0,6,,0,0,0,,,empress,口,6
侯,,,,侯,hou,hou,"hau 4 , hau 6 ","hóu, hòu",コウ,0,S,,후,제후,H,,,marquis,人,9
喉,,,,喉,hou,hou,hau 4 ,hóu,コウ,のど,S,2010,0,0,0,,,throat,口,12
火,,,,火,hua,hua,fo 2 ,huǒ,カ,ひ、（ほ）,1,,화,불,M,hoả,n,fire,火,4
花,,,,花,hua,hua,fa 1 ,huā,カ,はな,1,,화,꽃,M,"hoa, huê",n,flower,艸,7
化,,,,化,hua,hua,fa 3 ,"huà, huā",カ、ケ,ば-ける、ば-かす,3,,화,될,M,"hoá, huế, hoa",act,change,匕,4
和,,,,和,hua,hua,"wo 4 , wo 6 ","hé, hè, huò, huó, hú",ワ、（オ）,やわ-らぐ、やわ-らげる、なご-む、なご-やか,3,,화,화할,M,,,peace,口,8
貨,货,,,貨,hua,hua,fo 3 ,huò,カ,0,4,,화,재화,M,,,freight,貝,11
